,company,ADDRESS,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,ADDITIONAL
31,TRANSPORTS PELLEAU,6 RUE PAUL SABATIER 29850 GOUESNOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
32,DSV ROAD,RUE JEAN BERTIN PARC D'ACTIVITE DE LA GUIGNARDIERE 45430 CHECY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
33,TRANSPORTS MIGEON,RUE ORANGE ZI DE LADOUX 63118 CEBAZAT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
34,TRANSPORTS PEBERAT,ZONE INDUSTRIELLE L'HERISSON 47230 LAVARDAC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
35,SOCIETE COOPERATIVE OUVRIERE DE PRODUCTION DES TRANSPORTS,8 RUE DU COMMERCE ZI DU POINT DU JOUR 17400 SAINT JEAN D'ANGELY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
36,TRANSPORTS CAILLOT,AV DE L EUROPE 59270 BAILLEUL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
37,PHARMASTOCK,326 RUE DU GROS MOULIN 45200 AMILLY FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
38,MADAME NICOLE MILLOT TAXI MILLOT NICOLE,37 RUE DES EDUENS 71400 AUTUN FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
39,AGENCE MARITIME MARTIN AGENCE MARTIN MONTOIR,ZONE PORTUAIRE TMDC 44550 MONTOIR DE BRETAGNE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
40,TRANSPORTS VALLS ET FILS,4 RUE DU BENELUX LOTISSEMENT EURONORD III 31150 LESPINASSE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
41,SOCIETE VARILLON VARILLON,70 RUE CASTOR 78200 MANTES LA JOLIE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
42,KUEHNE NAGEL ROAD,5 RUE DU COMMERCE 51350 CORMONTREUIL FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
43,MIKAEL EXPRESS SERVICES,72 AV DU ROUQUET 33700 MERIGNAC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
