,company,Address,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,HouseNum,RoadName,POBOX,zipcode,city,CEDEX,ADDITIONAL,country,codeDep
384,NORBERT DENTRESSANGLE OVERSEAS FRANCE,CENTRE DE GROS NUMERO 4 RUE DES HAUTS DE SAINGHIN 59818 LESQUIN FRANCE,NONE,NONE,NONE,CENTRE DE GROS NUMERO 4,NONE,RUE DES HAUTS DE SAINGHIN,NONE,59818,LESQUIN,NONE,NONE,FRANCE,59
385,DIMOTRANS LYON,CHEMIN DU BOIS DES AIES CS 20006 69330 PUSIGNAN FRANCE,NONE,NONE,NONE,NONE,NONE,CHEMIN DU BOIS DES AIES,CS 20006,69330,PUSIGNAN,NONE,NONE,FRANCE,69
386,SDV CTM DIJON,ZONE INDUSTRIELLE DE DIJON LONGVIC 7 RUE DU PORT - BP 93 21600 LONGVIC FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE DIJON LONGVIC,7,RUE DU PORT -,BP 93,21600,LONGVIC,NONE,NONE,FRANCE,21
387,CMA CGM AGENCE ROUEN,1 BOULEVARD DU MIDI BP 2055 X 76040 ROUEN FRANCE,NONE,NONE,NONE,NONE,1,BOULEVARD DU MIDI,BP 2055 X,76040,ROUEN,NONE,NONE,FRANCE,76
388,SDV LOGISTIQUE INDUSTRIELLE BLOIS,'PARC D''ACTIVITES EURO VALLON DE LOIRE 6 RUE DU CLOS THOMAS 41330 FOSSE FRANCE',NONE,NONE,NONE,'PARC D''ACTIVITES EURO VALLON DE LOIRE',6,RUE DU CLOS THOMAS,NONE,41330,FOSSE,NONE,NONE,FRANCE,41
389,CAREFUSION FRANCE 205 S.A.S,5 RUE CHARLES LINDBERGH 44110 CHATEAUBRIANT FRANCE,NONE,NONE,NONE,NONE,5,RUE CHARLES LINDBERGH,NONE,44110,CHATEAUBRIANT,NONE,NONE,FRANCE,44
390,BDP INTERNATIONAL,CARGOPORT AEROPORT LYON SAINT EXUPERY BP 362 69125 LYON FRANCE,NONE,NONE,CARGOPORT AEROPORT LYON SAINT EXUPERY,NONE,NONE,NONE,BP 362,69125,LYON ,NONE,NONE,FRANCE,69
391,DB LOGISTICS,ZAC SAUMATY SEON 45 AVENUE ANDRE ROUSSIN BP 5 13321 MARSEILLE FRANCE,NONE,NONE,NONE,ZAC SAUMATY SEON ,45,AVENUE ANDRE ROUSSIN,BP 5,13321,MARSEILLE,NONE,NONE,FRANCE,13
392,PANALPINA,144 RUE AMERIGO VESPUCCI HANGAR H78 BP 1409 76067 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,144,RUE AMERIGO VESPUCCI HANGAR H78,BP 1409,76067,LE HAVRE,NONE,NONE,FRANCE,76
393,HWL-FR-SXB HEPPNER GROUP,8 RUE DE LA STATION 67027 STRASBOURG FRANCE,NONE,NONE,NONE,NONE,8,RUE DE LA STATION,NONE,67027,STRASBOURG,NONE,NONE,FRANCE,67
394,SKF FRANCE LOGISTICS CENTER,204 BOULEVARD CHARLES DE GAULLE 37542 SAINT CYR SUR LOIRE FRANCE,NONE,NONE,NONE,NONE,204,BOULEVARD CHARLES DE GAULLE,NONE,37542,SAINT CYR SUR LOIRE ,NONE,NONE,FRANCE,37
395,KUEHNE & NAGEL,1 AVENUE DIDIER DAURAT BLAGNAC 31700 TOULOUSE FRANCE,NONE,NONE,NONE,NONE,1,AVENUE DIDIER DAURAT BLAGNAC,NONE,31700,TOULOUSE,NONE,NONE,FRANCE,31
396,M2C LOGISTIQUE,ZONE ARTIZANORD 42 BOULEVARD DE LA PADOUANE 13015 MARSEILLE FRANCE,NONE,NONE,NONE,ZONE ARTIZANORD,42,BOULEVARD DE LA PADOUANE,NONE,13015,MARSEILLE,NONE,NONE,FRANCE,13
397,SCHENKER S.A.S. DUNKERQUE,'6 PLACE DE L''YSER 59377 DUNKERQUE FRANCE',NONE,NONE,NONE,NONE,6,'PLACE DE L''YSER',NONE,59377,DUNKERQUE,NONE,NONE,FRANCE,59
398,UNITRANSIT S.A,18/20 AVENUE ROBERT SCHUMAN 13002 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,18/20,AVENUE ROBERT SCHUMAN,NONE,13002,MARSEILLE,NONE,NONE,FRANCE,13
399,KUEHNE & NAGEL,IMMEUBLE LE BREUIL ZONE INDUSTRIELLE SUD EST RUE DES BIGNON BP 37128 35000 RENNES FRANCE,NONE,IMMEUBLE LE BREUIL,NONE,ZONE INDUSTRIELLE SUD EST ,NONE,RUE DES BIGNON,BP 37128,35000,RENNES,NONE,NONE,FRANCE,51
400,KUEHNE & NAGEL,ZONE AEROPORTUAIRE 2 ROUTE NATIONALE 76000 ROUEN FRANCE,NONE,NONE,NONE,ZONE AEROPORTUAIRE ,2,ROUTE NATIONALE,NONE,76000,ROUEN,NONE,NONE,FRANCE,59
401,BACARDI-MARTINI PRODUCTION,AVENUE FACUNDO BACARDI 30300 BEAUCAIRE FRANCE,NONE,NONE,NONE,NONE,NONE,AVENUE FACUNDO BACARDI,NONE,30300,BEAUCAIRE,NONE,NONE,FRANCE,30
402,FATTON,BUREAUX C 107A ET C 109A BATIMENT C AEROGARE DE FRET 59810 LESQUIN FRANCE,BUREAUX C 107A ET C 109A,BATIMENT C,AEROGARE DE FRET,NONE,NONE,NONE,NONE,59810,LESQUIN,NONE,NONE,FRANCE,59
403,TTOM,'BOULEVARD DE L''ILE AUX OISEAUX 76530 GRAND COURONNE FRANCE',NONE,NONE,NONE,NONE,NONE,'BOULEVARD DE L''ILE AUX OISEAUX',NONE,76530,GRAND COURONNE,NONE,NONE,FRANCE,76
404,ZIEGLER,'PARC D''ACTIVITES LES MORANDIERES RUE DE COPERNIC 53810 CHANGE FRANCE',NONE,NONE,NONE,'PARC D''ACTIVITES LES MORANDIERES',NONE,RUE DE COPERNIC,NONE,53810,CHANGE,NONE,NONE,FRANCE,53
405,KUEHNE & NAGEL,ZONE INDUSTRIELLE DES ILES 6 ALLEE DES MORILLES CRAN CHEVRIER 74900 ANNECY FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DES ILES,6,ALLEE DES MORILLES CRAN CHEVRIER,NONE,74900,ANNECY,NONE,NONE,FRANCE,74
406,LTM LE HAVRE,423 RUE DES CHANTIERS 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,423,RUE DES CHANTIERS,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
407,SETCARGO INTERNATIONAL,CENTRE MULTI MARCHANDISES RUE MICHEL POULMARCH BP 20487 76807 SAINT ETIENNE DU ROUVRAY FRANCE,NONE,NONE,NONE,CENTRE MULTI MARCHANDISES,NONE,RUE MICHEL POULMARCH,BP 20487,76807,SAINT ETIENNE DU ROUVRAY,NONE,NONE,FRANCE,76
408,HWL-FR-BOD HEPPNER OVERSEAS,ZONE DE FRET 33700 MERIGNAC FRANCE,NONE,NONE,NONE,ZONE DE FRET,NONE,NONE,NONE,33700,MERIGNAC,NONE,NONE,FRANCE,33
409,CLASQUIN SA,IMMEUBLE LE CASTEL 4 RUE GASTON CASTEL 13016 MARSEILLE FRANCE,NONE,IMMEUBLE LE CASTEL,NONE,NONE,4,RUE GASTON CASTEL,NONE,13016,MARSEILLE,NONE,NONE,FRANCE,13
410,CLASQUIN SA - MARSEILLE,18-20 AVENUE ROBERT SCHUMAN 13002 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,18-20,AVENUE ROBERT SCHUMAN,NONE,13002,MARSEILLE,NONE,NONE,FRANCE,13
411,PLANETPHARMA,ZAC DU GRAND LAUNAY 4 AVENUE VICTOR GRIGNARD 76120 LE GRAND QUEVILLY FRANCE,NONE,NONE,NONE,ZAC DU GRAND LAUNAY,4,AVENUE VICTOR GRIGNARD,NONE,76120,LE GRAND QUEVILLY,NONE,NONE,FRANCE,76
412,SCHENKER S.A.S.,PORT RHENAN 68600 NEUF BRISACH FRANCE,NONE,NONE,PORT RHENAN,NONE,NONE,NONE,NONE,68600,NEUF BRISACH,NONE,NONE,FRANCE,68
413,OTS,31 RUE BOBBY SANDS 44813 SAINT HERBLAIN FRANCE,NONE,NONE,NONE,NONE,31,RUE BOBBY SANDS,NONE,44813,SAINT HERBLAIN,NONE,NONE,FRANCE,44
414,BANSARD INTERNATIONAL,60 QUAI GEORGE RAVERAT 76067 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,60,QUAI GEORGE RAVERAT,NONE,76067,LE HAVRE,NONE,NONE,FRANCE,76
415,CLASQUIN SA - LILLE,22 RUE DE LA VOYETTE 59810 LESQUIN FRANCE,NONE,NONE,NONE,NONE,22,RUE DE LA VOYETTE,NONE,59810,LESQUIN,NONE,NONE,FRANCE,59
416,STOLT TANK CONTAINERS FRANCE SAS,12 COURS COMMANDANT FRATACCI BP 31382 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,12,COURS COMMANDANT FRATACCI,BP 31382,76600,LE HAVRE,NONE,NONE,FRANCE,76
417,UTI FRANCE SARL,AEROPORT BALE MULHOUSE FRIBOURG ZONE DE FRET 68034 MULHOUSE FRANCE,NONE,NONE,AEROPORT BALE MULHOUSE FRIBOURG,ZONE DE FRET,NONE,NONE,NONE,68034,MULHOUSE,NONE,NONE,FRANCE,68
418,ANDREA MERZARIO S.A.,BATIMENT D ZONE CARGO 5 SOGARIS 14 RUE DE LA BELLE BORNE 95700 ROISSY EN FRANCE FRANCE,NONE,BATIMENT D,NONE,ZONE CARGO 5 SOGARIS,14,RUE DE LA BELLE BORNE,NONE,95700,ROISSY EN FRANCE,NONE,NONE,FRANCE,93
419,GHL OVERSEAS,52 RUE EMMANUEL EYDOUX 13016 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,52,RUE EMMANUEL EYDOUX,NONE,13016,MARSEILLE,NONE,NONE,FRANCE,13
420,HARTRODT / FOOD & BEVERAGE LOGISTICS,540 RUE DES PAYS-BAS 69125 LYON FRANCE,NONE,NONE,NONE,NONE,540,RUE DES PAYS-BAS,NONE,69125,LYON ,NONE,NONE,FRANCE,69
421,QUALITAIR & SEA INTERNATIONAL ZONE,AEROPORT LYON SAINT EXUPERY BP 357 69125 LYON FRANCE,NONE,NONE,AEROPORT LYON SAINT EXUPERY,NONE,NONE,NONE,BP 357,69125,LYON,NONE,NONE,FRANCE,69
422,FR-LEH VATINEL,58 RUE DE MULHOUSE BP 186 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,58,RUE DE MULHOUSE,BP 186,76600,LE HAVRE,NONE,NONE,FRANCE,76
423,ROHM & HAAS FRANCE SAS,185 RUE DE BERCY 75579 PARIS FRANCE,NONE,NONE,NONE,NONE,185,RUE DE BERCY,NONE,75579,PARIS,NONE,NONE,FRANCE,75
424,DIMOTRANS VALENCE,ZONE INDUSTRIELLE RUE PIERRE B 26800 PORTES LES VALENCE FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE, RUE PIERRE B,NONE,26800,PORTES LES VALENCE,NONE,NONE,FRANCE,26
425,ASL OVERSEAS,3 AVENUE MIREILLE 13014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,3,AVENUE MIREILLE,NONE,13014,MARSEILLE,NONE,NONE,FRANCE,13
426,KUEHNE & NAGEL,SIEGE NATIONAL GARE ROUTIERE SOGARIS 94564 PARIS CEDEX FRANCE,NONE,NONE,SIEGE NATIONAL GARE ROUTIERE SOGARIS,NONE,NONE,NONE,NONE,94564,PARIS,CEDEX,NONE,FRANCE,94
427,KUEHNE & NAGEL FRANCE,IMMEUBLE PERSPECTIVE SEINE 84 RUE CHARLES MICHELSSAINT DENIS 93200 PARIS FRANCE,NONE,IMMEUBLE PERSPECTIVE SEINE,NONE,NONE,84,RUE CHARLES MICHELSSAINT DENIS,NONE,93200,PARIS,NONE,NONE,FRANCE,93
428,SCAC GENNEVILLIERS,BATIMENT A7 1 ROUTE DU BASSIN NO CE 96 92631 GENNEVILLIERS FRANCE,NONE,BATIMENT A7,NONE,NONE,1,ROUTE DU BASSIN NO,CE 96,92631,GENNEVILLIERS,NONE,NONE,FRANCE,92
429,RHODIA CHIMIE,40 RUE DE LA HAIE COQ 93300 AUBERVILLIERS FRANCE,NONE,NONE,NONE,NONE,40,RUE DE LA HAIE COQ,NONE,93300,AUBERVILLIERS,NONE,NONE,FRANCE,93
430,GEODIS PROJETS,13 BOULEVARD NEY 75018 PARIS FRANCE,NONE,NONE,NONE,NONE,13,BOULEVARD NEY,NONE,75018,PARIS,NONE,NONE,FRANCE,75
431,RHODANIENNE DE TRANSIT MONTOIR,130 RUE HENRI GAUTIER 44550 MONTOIR DE BRETAGNE FRANCE,NONE,NONE,NONE,NONE,130,RUE HENRI GAUTIER,NONE,44550,MONTOIR DE BRETAGNE,NONE,NONE,FRANCE,44
432,SCHENKER S.A.S.,PARC DU MELANTOIS RUE DES SAPINS 59180 LESQUIN FRANCE,NONE,NONE,NONE,PARC DU MELANTOIS,NONE,RUE DES SAPINS,NONE,59180,LESQUIN,NONE,NONE,FRANCE,59
433,KANNA INTERNATIONAL,23 TRAVERSE SANTI 13008 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,23,TRAVERSE SANTI,NONE,13008,MARSEILLE,NONE,NONE,FRANCE,13
434,BALGUERIE LILLE,AEROGARE DE FRET 59810 LESQUIN FRANCE,NONE,NONE,AEROGARE DE FRET,NONE,NONE,NONE,NONE,59810,LESQUIN,NONE,NONE,FRANCE,59
435,MERCATOR TRANSPORT FRANCE,12 RUE DE BRUXELLES 38070 SAINT QUENTIN FALLAVIER FRANCE,NONE,NONE,NONE,NONE,12,RUE DE BRUXELLES,NONE,38070,SAINT QUENTIN FALLAVIER,NONE,NONE,FRANCE,38
436,IJS GLOBAL SARL,ZAC DU MOULIN 9 RUE DU NOYER BP 10373 95700 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,ZAC DU MOULIN ,9,RUE DU NOYER,BP 10373,95700,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
437,NATT,ZAC SAUMATY SEON 22 RUE GASTON CASTEL 13016 MARSEILLE FRANCE,NONE,NONE,NONE,ZAC SAUMATY SEON,22,RUE GASTON CASTEL,NONE,13016,MARSEILLE,NONE,NONE,FRANCE,13
438,NOYON,ZONE ARTISANALE VALLEE BARREY 14120 MONDEVILLE FRANCE,NONE,NONE,NONE,ZONE ARTISANALE VALLEE BARREY,NONE,NONE,NONE,14120,MONDEVILLE,NONE,NONE,FRANCE,14
439,GEFCO,PARC MAISON NEUVE 3 RUE LOUIS BLERIOT 44980 SAINTE LUCE SUR LOIRE FRANCE,NONE,NONE,NONE,PARC MAISON NEUVE,3,RUE LOUIS BLERIOT,NONE,44980,SAINTE LUCE SUR LOIRE,NONE,NONE,FRANCE,44
440,CLASQUIN LYON SAINT EXUPERY,CARGOPORT ZONE DE FRET 69125 LYON FRANCE,NONE,NONE,CARGOPORT,ZONE DE FRET ,NONE,NONE,NONE,69125,LYON ,NONE,NONE,FRANCE,69
441,SCAC PARIS,'PARC D''ACTIVITES DES BELLEVUES 10 AVENUE DES BELLEVUES BP 61 95612 CERGY PONTOISE FRANCE',NONE,NONE,NONE,'PARC D''ACTIVITES DES BELLEVUES ',10,AVENUE DES BELLEVUES,BP 61,95612,CERGY PONTOISE,NONE,NONE,FRANCE,95
442,SEAFRIGO,11 AVENUE DE BRUXELLES 13127 VITROLLES FRANCE,NONE,NONE,NONE,NONE,11,AVENUE DE BRUXELLES,NONE,13127,VITROLLES,NONE,NONE,FRANCE,13
443,AVENTIS ANIMAL NUTRITION SA,42 AVENUE ARISTIDE BRIAND 92160 ANTONY FRANCE,NONE,NONE,NONE,NONE,42,AVENUE ARISTIDE BRIAND,NONE,92160,ANTONY,NONE,NONE,FRANCE,92
444,OTEC INTERNATIONAL,ROUTE DES ENTREPRISE BP 62 76050 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,NONE,ROUTE DES ENTREPRISE,BP 62,76050,LE HAVRE,NONE,NONE,FRANCE,76
445,KUEHNE & NAGEL S.A.S.,AEROPORT NANTES ATLANTIQUE ZONE DE FRET 44340 BOUGUENAIS FRANCE,NONE,NONE,AEROPORT NANTES ATLANTIQUE,ZONE DE FRET,NONE,NONE,NONE,44340,BOUGUENAIS,NONE,NONE,FRANCE,44
446,TRANSPORTS CHAVENEAU BERNIS SAS,10 RUE DES ERABLES 86130 DISSAY FRANCE,NONE,NONE,NONE,NONE,10,RUE DES ERABLES,NONE,86130,DISSAY,NONE,NONE,FRANCE,86
447,HENRY JOHNSON,ZONE ARTISANALE PARISUD SECTEUR NUMERO 4 4 BOULEVARD JEAN MONNET BP 106 77382 COMBS LA VILLE FRANCE,NONE,NONE,NONE,ZONE ARTISANALE PARISUD SECTEUR NUMERO 4,4,BOULEVARD JEAN MONNET,BP 106,77382,COMBS LA VILLE,NONE,NONE,FRANCE,77
448,MATRAMA FRANCE SA,71 RUE HENRI GAUTIER BP 24 44550 MONTOIR DE BRETAGNE FRANCE,NONE,NONE,NONE,NONE,71,RUE HENRI GAUTIER,BP 24,44550,MONTOIR DE BRETAGNE,NONE,NONE,FRANCE,44
449,ROHLIG FRANCE S.A.,IMMEUBLE CENTREDA 4 AVENUE DIDIER DAURAT 31700 BLAGNAC FRANCE,NONE,IMMEUBLE CENTREDA,NONE,NONE,4,AVENUE DIDIER DAURAT,NONE,31700,BLAGNAC,NONE,NONE,FRANCE,31
450,QUALITAIR & SEA INTERNATIONAL,164 BOULEVARD DE GRAVILLE BP 1228 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,164,BOULEVARD DE GRAVILLE,BP 1228,76600,LE HAVRE,NONE,NONE,FRANCE,76
451,TEAM LOGISTIC SERVICES,7 AVENUE ANDRE ROUSSIN 13016 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,7,AVENUE ANDRE ROUSSIN,NONE,13016,MARSEILLE,NONE,NONE,FRANCE,13
452,TIER PORT SERVICES MARSEILLE,143 CHEMIN DE SAINT LOUIS AU ROVE 13016 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,143,CHEMIN DE SAINT LOUIS AU ROVE,NONE,13016,MARSEILLE,NONE,NONE,FRANCE,13
453,DHL GLOBAL FORWARDING SAS,15 RUE CHARLES WELSCHE 54000 NANCY FRANCE,NONE,NONE,NONE,NONE,15,RUE CHARLES WELSCHE,NONE,54000,NANCY,NONE,NONE,FRANCE,54
454,GEODIS WILSON FRANCE,'HOTEL DES TECHNOLOGIES ROUTE DE L''ECLUSE TRYSTAM 59140 DUNKERQUE FRANCE',NONE,HOTEL DES TECHNOLOGIES,NONE,NONE,NONE,'ROUTE DE L''ECLUSE TRYSTAM',NONE,59140,DUNKERQUE,NONE,NONE,FRANCE,59
455,CATERPILLAR MATERIELS ROUTIERS S.A.S.,21 AVENUE JEAN JAURES BP 2F 60290 RANTIGNY FRANCE,NONE,NONE,NONE,NONE,21,AVENUE JEAN JAURES,BP 2F,60290,RANTIGNY,NONE,NONE,FRANCE,60
456,MARFRET COMPAGNIE MARITIME,13 QUAI DE LA JOLIETTE 13002 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,13,QUAI DE LA JOLIETTE,NONE,13002,MARSEILLE,NONE,NONE,FRANCE,13
457,ASL OVERSEAS,4 RUE DENIS PAPIN - BP 232 77292 MITRY MORY CEDEX FRANCE,NONE,NONE,NONE,NONE,4,RUE DENIS PAPIN -,BP 232 ,77292,MITRY MORY,CEDEX,NONE,FRANCE,77
458,DEVCOT SA,19 RUE EUGENE JACQUET 59900 LILLE FRANCE,NONE,NONE,NONE,NONE,19,RUE EUGENE JACQUET,NONE,59900,LILLE,NONE,NONE,FRANCE,59
459,GONDRAND VITROLLES,'ZONE INDUSTRIELLE LES ESTROUBLANS 11 RUE D''ATHENES 13127 VITROLLES FRANCE',NONE,NONE,NONE,ZONE INDUSTRIELLE LES ESTROUBLANS,11,'RUE D''ATHENES',NONE,13127,VITROLLES,NONE,NONE,FRANCE,13
460,KUEHNE & NAGEL,ETAGE 1 BATIMENT C DOMAINE DE PELUS 2 AVENUE DE PYTHAGORE 33700 MERIGNAC FRANCE,ETAGE 1,BATIMENT C,NONE,DOMAINE DE PELUS,2,AVENUE DE PYTHAGORE,NONE,33700,MERIGNAC,NONE,NONE,FRANCE,33
461,BERTLING LOGISTICS FRANCE SARL,LIEUDIT LA TUQUE 47240 CASTELCULIER FRANCE,NONE,NONE,NONE,NONE,NONE,LIEUDIT LA TUQUE,NONE,47240,CASTELCULIER,NONE,NONE,FRANCE,47
462,UTI FRANCE,DOMAINE DE PELUS 10 AVENUE DE PYTHAGORE - 33700 MERIGNAC FRANCE,NONE,NONE,NONE,DOMAINE DE PELUS,10,AVENUE DE PYTHAGORE -,NONE,33700,MERIGNAC,NONE,NONE,FRANCE,33
463,SIPLEC,26 QUAI MARCEL BOYER 94200 IVRY SUR SEINE FRANCE,NONE,NONE,NONE,NONE,26,QUAI MARCEL BOYER,NONE,94200,IVRY SUR SEINE,NONE,NONE,FRANCE,94
464,NORD SUD CTI ROUEN,132 RUE DE LAUSANNE 76000 ROUEN FRANCE,NONE,NONE,NONE,NONE,132,RUE DE LAUSANNE,NONE,76000,ROUEN,NONE,NONE,FRANCE,76
465,NESTLE WATERS S.A.S.,12 BOULEVARD GARIBALDI 92130 ISSY LES MOULINEAUX FRANCE,NONE,NONE,NONE,NONE,12,BOULEVARD GARIBALDI,NONE,92130,ISSY LES MOULINEAUX,NONE,NONE,FRANCE,92
466,SETCARGO CHARTRES,'LOTISSEMENT NUMERO 6 ESPACE OCEAM 53 AVENUE D''ORLEANS 28000 CHARTRES FRANCE',NONE,LOTISSEMENT NUMERO 6 ESPACE OCEAM,NONE,NONE,53,'AVENUE D''ORLEANS',NONE,28000,CHARTRES,NONE,NONE,FRANCE,28
467,GALAX SAS,RUE RENE FONCK 44800 SAINT AIGNAN DE GRAND LIEU FRANCE,NONE,NONE,NONE,NONE,NONE,RUE RENE FONCK,NONE,44800,SAINT AIGNAN DE GRAND LIEU,NONE,NONE,FRANCE,44
468,SOGETRA AMIENS,RUE ANDRE DUROUCHEZ 80000 AMIENS FRANCE,NONE,NONE,NONE,NONE,NONE,RUE ANDRE DUROUCHEZ,NONE,80000,AMIENS,NONE,NONE,FRANCE,80
469,DSV AIR&SEA SAS,48-50 ROUTE PRINCIPALE DU PORT BP 97 92230 GENNEVILLIERS FRANCE,NONE,NONE,NONE,NONE,48-50,ROUTE PRINCIPALE DU PORT,BP 97,92230,GENNEVILLIERS,NONE,NONE,FRANCE,92
470,ZIEGLER,16 RUE CHARLES TELLIER 13014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,16,RUE CHARLES TELLIER,NONE,13014,MARSEILLE,NONE,NONE,FRANCE,13
471,DSV AIR&SEA SAS,9 AVENUE DE LA PORTE DE LA CHAPELLE 75018 PARIS FRANCE,NONE,NONE,NONE,NONE,9,AVENUE DE LA PORTE DE LA CHAPELLE,NONE,75018,PARIS,NONE,NONE,FRANCE,75
472,IBM,'17 AVENUE DE L''EUROPE 92270 BOIS COLOMBES FRANCE',NONE,NONE,NONE,NONE,17,'AVENUE DE L''EUROPE',NONE,92270,BOIS COLOMBES,NONE,NONE,FRANCE,92
473,SAGA AIR,ZONE ARTISANALE COIGNIERES MAUREPAS 10/12 RUE MARIE CURIE 78310 MAUREPAS FRANCE,NONE,NONE,NONE,ZONE ARTISANALE COIGNIERES MAUREPAS,10/12,RUE MARIE CURIE,NONE,78310,MAUREPAS,NONE,NONE,FRANCE,78
474,INTERGATE,7 RUE MONTESPAN 91000 EVRY FRANCE,NONE,NONE,NONE,NONE,7,RUE MONTESPAN,NONE,91000,EVRY,NONE,NONE,FRANCE,91
475,TIMAB,57 BOULEVARD JULES VERGER 35800 DINARD FRANCE,NONE,NONE,NONE,NONE,57,BOULEVARD JULES VERGER,NONE,35800,DINARD,NONE,NONE,FRANCE,35
476,LAPORTE BALL TRAP,357 ALLEE DU VALLON DE POME 06560 BIOT FRANCE,NONE,NONE,NONE,NONE,357,ALLEE DU VALLON DE POME,NONE,6560,BIOT,NONE,NONE,FRANCE,6
477,GEFCO FRANCE VITROLLES,'ZAC DE L''ANJOLY 7 VOIE D''AUTRICHE - BP 80265 13127 VITROLLES FRANCE',NONE,NONE,NONE,'ZAC DE L''ANJOLY',7,'VOIE D''AUTRICHE -',BP 80265,13127,VITROLLES,NONE,NONE,FRANCE,13
478,TRICO DEMENAGEMENTS IMPORT AND EXPORT,20 RUE DE PONT A LHUILLE 95500 LE THILLAY FRANCE,NONE,NONE,NONE,NONE,20,RUE DE PONT A LHUILLE,NONE,95500,LE THILLAY,NONE,NONE,FRANCE,95
479,RUMI SARL,1 RUE DE LA CORDERIE 94586 RUNGIS FRANCE,NONE,NONE,NONE,NONE,1,RUE DE LA CORDERIE,NONE,94586,RUNGIS,NONE,NONE,FRANCE,94
480,YVES ROCHER,3 ALLEE DE GRENELLE 92130 ISSY LES MOULINEAUX FRANCE,NONE,NONE,NONE,NONE,3,ALLEE DE GRENELLE,NONE,92130,ISSY LES MOULINEAUX,NONE,NONE,FRANCE,92
481,BUREAU TRANSIT MARSEILLAS,CHEZ TRANSPORTS PALA 81 RUE LE CHATELIER 13015 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,81,RUE LE CHATELIER,NONE,13015,MARSEILLE,NONE,CHEZ TRANSPORTS PALA,FRANCE,13
482,C.H. ROBINSON EUROPE BV,PARC DE REFLETS ZAC PARIS NORD 2 165 AVENUE DU BOIS DE LA PIE 95700 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,PARC DE REFLETS ZAC PARIS NORD 2,165,AVENUE DU BOIS DE LA PIE,NONE,95700,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
483,COQUELLE GOURDIN,1/7 PLACE DE LA REPUBLIQUE 59140 DUNKERQUE FRANCE,NONE,NONE,NONE,NONE,1/7,PLACE DE LA REPUBLIQUE,NONE,59140,DUNKERQUE,NONE,NONE,FRANCE,59
484,PHENICIA LOGISTICS,3 ALLEE HECTOR BERLIOZ 95130 FANCONVILLE FRANCE,NONE,NONE,NONE,NONE,3,ALLEE HECTOR BERLIOZ,NONE,95130,FANCONVILLE,NONE,NONE,FRANCE,95
485,EM NORMANDIE,30 RUE RICHELIEU 76087 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,30,RUE RICHELIEU,NONE,76087,LE HAVRE,NONE,NONE,FRANCE,76
486,CLAUNI BORDEAUX,ENTREE C BATIMENT 6 ZONE DE BORDEAUX FRET RUE DE ROTTERDAM 33520 BRUGES FRANCE,ENTREE C,BATIMENT 6,NONE,ZONE DE BORDEAUX FRET ,NONE,RUE DE ROTTERDAM ,NONE,33520,BRUGES,NONE,NONE,FRANCE,33
487,TOTAL,16 RUE DE LA REPUBLIQUE 92922 PARIS LA DEFENSE FRANCE,NONE,NONE,NONE,NONE,16,RUE DE LA REPUBLIQUE,NONE,92922,PARIS LA DEFENSE,NONE,NONE,FRANCE,92
488,SI LESAFFRE,137 RUE GABRIEL PERIPHERIQUE 59703 MARCQ EN BARUL FRANCE,NONE,NONE,NONE,NONE,137,RUE GABRIEL PERIPHERIQUE,NONE,59703,MARCQ EN BARUL,NONE,NONE,FRANCE,59
489,CORINTAX LOGISTICS,9 QUAI AULAGNIER 92600 ASNIERES SUR SEINE FRANCE,NONE,NONE,NONE,NONE,9,QUAI AULAGNIER,NONE,92600,ASNIERES SUR SEINE,NONE,NONE,FRANCE,92
490,PEZERON OLIVIER,418 ALLEE DES CISTES 40440 ONDRES FRANCE,NONE,NONE,NONE,NONE,418,ALLEE DES CISTES,NONE,40440,ONDRES,NONE,NONE,FRANCE,40
